state_id,init_x,init_y,init_z,init_vx,init_vy,init_vz,pred_x,pred_y,error
166,-0.250879,1.47702,0.445428,1.08636,-5.41717,1.61242,0.295365,-1.24683,2.96203e-08
167,-0.0268414,1.03531,0.373817,-0.55658,-5.33902,1.19088,-0.261241,-1.21318,3.77551e-08
168,0.247624,0.809012,0.39095,-0.496756,-4.89709,0.946647,0.0518543,-1.12092,3.96792e-08
169,0.502061,1.30428,0.572997,-1.62108,-5.47969,1.04795,-0.246475,-1.22597,4.29959e-08
170,0.619101,0.889728,0.340528,-0.0876901,-6.46216,0.780098,0.588067,-1.39726,3.48628e-08
171,-0.0633724,1.00762,0.400456,-0.947735,-6.6428,1.63416,-0.529381,-2.2587,4.14096e-08
172,0.353472,1.08806,0.294019,-1.05984,-6.02707,0.674458,0.0113745,-0.857354,2.44569e-08
173,-0.332216,1.19355,0.410552,0.126834,-4.54477,2.27893,-0.256071,-1.53492,0.0220787
174,0.697309,0.954304,0.299185,-0.731393,-6.22505,1.43724,0.382736,-1.7231,2.08194e-08
175,-0.692702,0.403511,0.93204,1.14668,-3.5511,1.15549,-0.0441764,-1.60488,1.72503e-08
176,0.00481395,0.80552,0.355039,-1.01246,-4.88419,0.831495,-0.366342,-0.984966,3.6427e-08
177,-0.16,1.38,0.49,1.6,-7.06,1.14,0.557732,-1.78699,3.70453e-08
178,-0.160169,1.12274,0.434782,0.620342,-4.85242,1.6702,0.155856,-1.34926,4.58553e-08
179,0.114988,1.0681,0.533158,-0.943556,-5.43422,1.58066,-0.37778,-1.7699,6.13633e-09
180,-0.26558,1.2684,0.413101,1.05406,-5.6801,1.30577,0.211851,-1.30437,0.0281205
181,0.531157,-1.77805,0.273764,-1.67995,7.05281,2.51652,-0.464779,2.40311,3.81548e-08
182,-0.208764,1.08217,0.428101,1.35979,-5.33334,1.69494,0.485566,-1.64111,5.51813e-08
183,0.380647,1.20686,0.503919,0.0734841,-5.55234,1.69598,0.419733,-1.74641,5.76035e-08
184,-0.00143469,-0.954621,0.301759,-0.212619,5.26424,0.475773,-0.0655554,0.632942,2.26145e-08
185,-0.0750906,1.10715,0.529184,0.68351,-2.84192,1.50753,0.279477,-0.367082,0.0143619
186,-0.44,1.11,0.49,1.55,-3.99,1.19,0.268918,-0.714891,1.20635e-08
187,0.24,1.39,0.41,0.01,-5.32,0.71,0.243732,-0.595553,0.0260634
188,0.218624,1.10077,0.403399,-1.06174,-4.10073,1.39524,-0.269115,-0.783021,8.05396e-10
189,-0.61,0.89,0.39,1.41,-5.08,1.17,-0.0133171,-1.25975,2.46404e-08
190,0.214888,1.14791,0.460627,-0.587894,-5.03034,1.96321,-0.114186,-1.66782,2.38808e-08
191,-0.41,1.1,0.54,1.31,-5.55,0.7,0.125943,-1.1706,4.68142e-08
192,0.00588888,1.38229,0.481466,0.524719,-4.93269,1.7656,0.287449,-1.26456,4.88837e-08
193,0.197093,1.15178,0.319883,-2.23144,-5.41803,1.84215,-0.915335,-1.54924,3.40197e-09
194,0.463476,1.51678,0.382332,-1.07908,-5.3305,1.99282,-0.12111,-1.37099,1.73833e-08
195,0.737463,1.30944,0.495369,-0.59774,-5.60229,1.53074,0.435828,-1.51761,7.33221e-09
196,-0.096989,1.13723,0.496256,0.0972661,-4.51669,1.89455,-0.0424644,-1.3947,5.65246e-08
197,0.552438,1.18739,0.534013,-1.19899,-4.7463,2.53191,-0.246645,-1.97586,1.55881e-08
198,0.468939,1.00674,0.498738,-1.0941,-4.35924,1.89377,-0.144419,-1.43708,3.21789e-08
199,-0.59,1.64,0.45,0.76,-5.47,1.89,-0.175415,-1.34392,4.19016e-08
